CIDADE,QTD,NM_MUNICIPIO,QT_VOTOS,SCORE_OPORTUNIDADE,SCORE_DENTISTAS,SCORE_VOTOS_PL,SCORE_ROI,SCORE_FINAL,TIER,EXPLICACAO,CIDADE_NORM,mesorregiao-nome_x,regiao-intermediaria-nome,DELEGACIA_CRO,mesorregiao-nome_y,microrregiao-nome
CARANAÍBA,15.0,CARANAÍBA,2646,19.845,2.52,1.36,2.0,1.98,D,"Dentistas: 15 → score 2.52 | Votos PL/Nikolas: 2,646 → score 1.36 | ROI: município pequeno → score 2.0",CARANAÍBA,Campo das Vertentes,Barbacena,Juiz de Fora,Campo das Vertentes,Barbacena
BONFINÓPOLIS DE MINAS,11.0,BONFINÓPOLIS DE MINAS,3588,19.734,1.56,2.82,2.0,2.11,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 3,588 → score 2.82 | ROI: município pequeno → score 2.0",BONFINÓPOLIS DE MINAS,Noroeste de Minas,Patos de Minas,Patos de Minas,Noroeste de Minas,Unaí
SÃO FÉLIX DE MINAS,16.0,SÃO FÉLIX DE MINAS,2443,19.544,2.74,1.0,2.0,1.95,D,"Dentistas: 16 → score 2.74 | Votos PL/Nikolas: 2,443 → score 1.0 | ROI: município pequeno → score 2.0",SÃO FÉLIX DE MINAS,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Mantena
CÓRREGO DO BOM JESUS,12.0,CÓRREGO DO BOM JESUS,3253,19.518,1.84,2.39,2.0,2.07,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 3,253 → score 2.39 | ROI: município pequeno → score 2.0",CÓRREGO DO BOM JESUS,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
CORDISLÂNDIA,18.0,CORDISLÂNDIA,2148,19.332,3.11,0.54,2.0,1.93,D,"Dentistas: 18 → score 3.11 | Votos PL/Nikolas: 2,148 → score 0.54 | ROI: município pequeno → score 2.0",CORDISLÂNDIA,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Santa Rita do Sapucaí
PADRE CARVALHO,12.0,PADRE CARVALHO,3173,19.038,1.84,2.25,2.0,2.02,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 3,173 → score 2.25 | ROI: município pequeno → score 2.0",PADRE CARVALHO,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Grão Mogol
MATHIAS LOBATO,16.0,MATHIAS LOBATO,2371,18.968,2.74,0.87,2.0,1.9,D,"Dentistas: 16 → score 2.74 | Votos PL/Nikolas: 2,371 → score 0.87 | ROI: município pequeno → score 2.0",MATHIAS LOBATO,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Governador Valadares
IPIAÇU,14.0,IPIAÇU,2704,18.928,2.28,1.46,2.0,1.92,D,"Dentistas: 14 → score 2.28 | Votos PL/Nikolas: 2,704 → score 1.46 | ROI: município pequeno → score 2.0",IPIAÇU,Triângulo Mineiro/Alto Paranaíba,Uberlândia,Uberlândia,Triângulo Mineiro/Alto Paranaíba,Ituiutaba
BERIZAL,12.0,BERIZAL,3129,18.774,1.84,2.18,2.0,2.0,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 3,129 → score 2.18 | ROI: município pequeno → score 2.0",BERIZAL,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Salinas
INHAÚMA,8.0,INHAÚMA,4619,18.476,0.81,4.35,2.0,2.35,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 4,619 → score 4.35 | ROI: município pequeno → score 2.0",INHAÚMA,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Sete Lagoas
LUISLÂNDIA,8.0,LUISLÂNDIA,4576,18.304,0.81,4.27,2.0,2.32,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 4,576 → score 4.27 | ROI: município pequeno → score 2.0",LUISLÂNDIA,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Montes Claros
CANTAGALO,14.0,CANTAGALO,2613,18.291,2.28,1.25,2.0,1.85,D,"Dentistas: 14 → score 2.28 | Votos PL/Nikolas: 2,613 → score 1.25 | ROI: município pequeno → score 2.0",CANTAGALO,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Peçanha
JURAMENTO,10.0,JURAMENTO,3627,18.135,1.29,2.9,2.0,2.03,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 3,627 → score 2.9 | ROI: município pequeno → score 2.0",JURAMENTO,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Montes Claros
NOVA BELÉM,14.0,NOVA BELÉM,2586,18.102,2.28,1.2,2.0,1.83,D,"Dentistas: 14 → score 2.28 | Votos PL/Nikolas: 2,586 → score 1.2 | ROI: município pequeno → score 2.0",NOVA BELÉM,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Mantena
SÃO JOSÉ DO DIVINO,15.0,SÃO JOSÉ DO DIVINO,2404,18.03,2.52,0.92,2.0,1.83,D,"Dentistas: 15 → score 2.52 | Votos PL/Nikolas: 2,404 → score 0.92 | ROI: município pequeno → score 2.0",SÃO JOSÉ DO DIVINO,Vale do Rio Doce,Teófilo Otoni,Teófilo Otoni,Vale do Rio Doce,Governador Valadares
DESCOBERTO,10.0,DESCOBERTO,3584,17.92,1.29,2.81,2.0,2.0,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 3,584 → score 2.81 | ROI: município pequeno → score 2.0",DESCOBERTO,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora
MORRO DO PILAR,13.0,MORRO DO PILAR,2751,17.8815,2.08,1.53,2.0,1.87,D,"Dentistas: 13 → score 2.08 | Votos PL/Nikolas: 2,751 → score 1.53 | ROI: município pequeno → score 2.0",MORRO DO PILAR,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Conceição do Mato Dentro
MATUTINA,14.0,MATUTINA,2524,17.668,2.28,1.13,2.0,1.81,D,"Dentistas: 14 → score 2.28 | Votos PL/Nikolas: 2,524 → score 1.13 | ROI: município pequeno → score 2.0",MATUTINA,Triângulo Mineiro/Alto Paranaíba,Patos de Minas,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,Patos de Minas
NOVORIZONTE,10.0,NOVORIZONTE,3474,17.37,1.29,2.7,2.0,1.96,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 3,474 → score 2.7 | ROI: município pequeno → score 2.0",NOVORIZONTE,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Salinas
BARÃO DE MONTE ALTO,8.0,BARÃO DE MONTE ALTO,4311,17.244,0.81,3.92,2.0,2.2,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 4,311 → score 3.92 | ROI: município pequeno → score 2.0",BARÃO DE MONTE ALTO,,,Não mapeado,,
BOTUMIRIM,9.0,BOTUMIRIM,3822,17.199,1.04,3.23,2.0,2.05,D,"Dentistas: 9 → score 1.04 | Votos PL/Nikolas: 3,822 → score 3.23 | ROI: município pequeno → score 2.0",BOTUMIRIM,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Grão Mogol
MONTE FORMOSO,12.0,MONTE FORMOSO,2849,17.094,1.84,1.69,2.0,1.83,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,849 → score 1.69 | ROI: município pequeno → score 2.0",MONTE FORMOSO,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Almenara
MARILAC,11.0,MARILAC,3107,17.0885,1.56,2.15,2.0,1.88,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 3,107 → score 2.15 | ROI: município pequeno → score 2.0",MARILAC,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Governador Valadares
JOSÉ GONÇALVES DE MINAS,13.0,JOSÉ GONÇALVES DE MINAS,2616,17.004,2.08,1.27,2.0,1.78,D,"Dentistas: 13 → score 2.08 | Votos PL/Nikolas: 2,616 → score 1.27 | ROI: município pequeno → score 2.0",JOSÉ GONÇALVES DE MINAS,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Capelinha
SANTA ROSA DA SERRA,14.0,SANTA ROSA DA SERRA,2428,16.996,2.28,0.99,2.0,1.76,D,"Dentistas: 14 → score 2.28 | Votos PL/Nikolas: 2,428 → score 0.99 | ROI: município pequeno → score 2.0",SANTA ROSA DA SERRA,Triângulo Mineiro/Alto Paranaíba,Uberaba,Uberaba,Triângulo Mineiro/Alto Paranaíba,Patos de Minas
DOM VIÇOSO,14.0,DOM VIÇOSO,2421,16.947,2.28,0.97,2.0,1.75,D,"Dentistas: 14 → score 2.28 | Votos PL/Nikolas: 2,421 → score 0.97 | ROI: município pequeno → score 2.0",DOM VIÇOSO,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Itajubá
SANTANA DOS MONTES,11.0,SANTANA DOS MONTES,3080,16.94,1.56,2.09,2.0,1.86,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 3,080 → score 2.09 | ROI: município pequeno → score 2.0",SANTANA DOS MONTES,Metropolitana de Belo Horizonte,Barbacena,Juiz de Fora,Metropolitana de Belo Horizonte,Conselheiro Lafaiete
SÃO GONÇALO DO RIO PRETO,16.0,SÃO GONÇALO DO RIO PRETO,2116,16.928,2.74,0.5,2.0,1.77,D,"Dentistas: 16 → score 2.74 | Votos PL/Nikolas: 2,116 → score 0.5 | ROI: município pequeno → score 2.0",SÃO GONÇALO DO RIO PRETO,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Diamantina
CONCEIÇÃO DA BARRA DE MINAS,11.0,CONCEIÇÃO DA BARRA DE MINAS,3073,16.9015,1.56,2.07,2.0,1.85,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 3,073 → score 2.07 | ROI: município pequeno → score 2.0",CONCEIÇÃO DA BARRA DE MINAS,Campo das Vertentes,Barbacena,Juiz de Fora,Campo das Vertentes,São João Del Rei
OLÍMPIO NORONHA,16.0,OLÍMPIO NORONHA,2073,16.584,2.74,0.45,2.0,1.75,D,"Dentistas: 16 → score 2.74 | Votos PL/Nikolas: 2,073 → score 0.45 | ROI: município pequeno → score 2.0",OLÍMPIO NORONHA,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,São Lourenço
PEDRA DO ANTA,12.0,PEDRA DO ANTA,2763,16.578,1.84,1.57,2.0,1.79,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,763 → score 1.57 | ROI: município pequeno → score 2.0",PEDRA DO ANTA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Viçosa
COUTO DE MAGALHÃES DE MINAS,12.0,COUTO DE MAGALHÃES DE MINAS,2744,16.464000000000002,1.84,1.52,2.0,1.77,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,744 → score 1.52 | ROI: município pequeno → score 2.0",COUTO DE MAGALHÃES DE MINAS,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Diamantina
SÃO BENTO ABADE,10.0,SÃO BENTO ABADE,3264,16.32,1.29,2.43,2.0,1.87,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 3,264 → score 2.43 | ROI: município pequeno → score 2.0",SÃO BENTO ABADE,Sul/Sudoeste de Minas,Varginha,Alfenas,Sul/Sudoeste de Minas,Varginha
PAINEIRAS,10.0,PAINEIRAS,3258,16.29,1.29,2.41,2.0,1.86,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 3,258 → score 2.41 | ROI: município pequeno → score 2.0",PAINEIRAS,Central Mineira,Divinópolis,Divinópolis,Central Mineira,Três Marias
PEDRA DO INDAIÁ,11.0,PEDRA DO INDAIÁ,2942,16.181,1.56,1.78,2.0,1.75,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 2,942 → score 1.78 | ROI: município pequeno → score 2.0",PEDRA DO INDAIÁ,Oeste de Minas,Divinópolis,Divinópolis,Oeste de Minas,Formiga
JOAQUIM FELÍCIO,13.0,JOAQUIM FELÍCIO,2461,15.9965,2.08,1.05,2.0,1.7,D,"Dentistas: 13 → score 2.08 | Votos PL/Nikolas: 2,461 → score 1.05 | ROI: município pequeno → score 2.0",JOAQUIM FELÍCIO,Central Mineira,Montes Claros,Montes Claros,Central Mineira,Curvelo
UNIÃO DE MINAS,13.0,UNIÃO DE MINAS,2454,15.951,2.08,1.04,2.0,1.7,D,"Dentistas: 13 → score 2.08 | Votos PL/Nikolas: 2,454 → score 1.04 | ROI: município pequeno → score 2.0",UNIÃO DE MINAS,Triângulo Mineiro/Alto Paranaíba,Uberaba,Uberaba,Triângulo Mineiro/Alto Paranaíba,Frutal
GOIABEIRA,14.0,GOIABEIRA,2276,15.932,2.28,0.71,2.0,1.66,D,"Dentistas: 14 → score 2.28 | Votos PL/Nikolas: 2,276 → score 0.71 | ROI: município pequeno → score 2.0",GOIABEIRA,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Aimorés
MIRAVÂNIA,12.0,MIRAVÂNIA,2622,15.732,1.84,1.29,2.0,1.69,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,622 → score 1.29 | ROI: município pequeno → score 2.0",MIRAVÂNIA,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Januária
SANTA BÁRBARA DO MONTE VERDE,12.0,SANTA BÁRBARA DO MONTE VERDE,2612,15.672,1.84,1.24,2.0,1.67,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,612 → score 1.24 | ROI: município pequeno → score 2.0",SANTA BÁRBARA DO MONTE VERDE,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora
VOLTA GRANDE,10.0,VOLTA GRANDE,3097,15.485,1.29,2.12,2.0,1.76,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 3,097 → score 2.12 | ROI: município pequeno → score 2.0",VOLTA GRANDE,Zona da Mata,Juíz de Fora,Muriaé,Zona da Mata,Cataguases
JUVENÍLIA,8.0,JUVENÍLIA,3838,15.352,0.81,3.3,2.0,1.98,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 3,838 → score 3.3 | ROI: município pequeno → score 2.0",JUVENÍLIA,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Januária
CHÁCARA,10.0,CHÁCARA,3069,15.345,1.29,2.05,2.0,1.73,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 3,069 → score 2.05 | ROI: município pequeno → score 2.0",CHÁCARA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora
JOSÉ RAYDAN,11.0,JOSÉ RAYDAN,2789,15.3395,1.56,1.6,2.0,1.68,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 2,789 → score 1.6 | ROI: município pequeno → score 2.0",JOSÉ RAYDAN,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Peçanha
GONÇALVES,10.0,GONÇALVES,3032,15.16,1.29,1.96,2.0,1.7,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 3,032 → score 1.96 | ROI: município pequeno → score 2.0",GONÇALVES,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
SÃO JOSÉ DA SAFIRA,11.0,SÃO JOSÉ DA SAFIRA,2752,15.136,1.56,1.54,2.0,1.66,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 2,752 → score 1.54 | ROI: município pequeno → score 2.0",SÃO JOSÉ DA SAFIRA,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Governador Valadares
DOM JOAQUIM,10.0,DOM JOAQUIM,3026,15.13,1.29,1.95,2.0,1.7,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 3,026 → score 1.95 | ROI: município pequeno → score 2.0",DOM JOAQUIM,Metropolitana de Belo Horizonte,Governador Valadares,Governador Valadares,Metropolitana de Belo Horizonte,Conceição do Mato Dentro
CAJURI,8.0,CAJURI,3759,15.036,0.81,3.16,2.0,1.93,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 3,759 → score 3.16 | ROI: município pequeno → score 2.0",CAJURI,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Viçosa
ARAPUÁ,12.0,ARAPUÁ,2481,14.886,1.84,1.06,2.0,1.61,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,481 → score 1.06 | ROI: município pequeno → score 2.0",ARAPUÁ,Triângulo Mineiro/Alto Paranaíba,Patos de Minas,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,Patos de Minas
SÃO GERALDO DO BAIXIO,13.0,SÃO GERALDO DO BAIXIO,2284,14.845999999999998,2.08,0.73,2.0,1.59,D,"Dentistas: 13 → score 2.08 | Votos PL/Nikolas: 2,284 → score 0.73 | ROI: município pequeno → score 2.0",SÃO GERALDO DO BAIXIO,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Governador Valadares
CONCEIÇÃO DE IPANEMA,9.0,CONCEIÇÃO DE IPANEMA,3294,14.823,1.04,2.44,2.0,1.77,D,"Dentistas: 9 → score 1.04 | Votos PL/Nikolas: 3,294 → score 2.44 | ROI: município pequeno → score 2.0",CONCEIÇÃO DE IPANEMA,Vale do Rio Doce,Juíz de Fora,Juiz de Fora,Vale do Rio Doce,Aimorés
PIRANGUÇU,8.0,PIRANGUÇU,3701,14.804,0.81,3.02,2.0,1.88,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 3,701 → score 3.02 | ROI: município pequeno → score 2.0",PIRANGUÇU,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Itajubá
BELMIRO BRAGA,12.0,BELMIRO BRAGA,2447,14.682,1.84,1.01,2.0,1.59,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,447 → score 1.01 | ROI: município pequeno → score 2.0",BELMIRO BRAGA,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora
LAGOA DOS PATOS,11.0,LAGOA DOS PATOS,2638,14.509,1.56,1.33,2.0,1.59,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 2,638 → score 1.33 | ROI: município pequeno → score 2.0",LAGOA DOS PATOS,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Pirapora
CACHOEIRA DA PRATA,10.0,CACHOEIRA DA PRATA,2867,14.335,1.29,1.71,2.0,1.61,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 2,867 → score 1.71 | ROI: município pequeno → score 2.0",CACHOEIRA DA PRATA,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Sete Lagoas
SANTA RITA DE IBITIPOCA,11.0,SANTA RITA DE IBITIPOCA,2604,14.322,1.56,1.21,2.0,1.55,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 2,604 → score 1.21 | ROI: município pequeno → score 2.0",SANTA RITA DE IBITIPOCA,Zona da Mata,Barbacena,Juiz de Fora,Zona da Mata,Juiz de Fora
PESCADOR,12.0,PESCADOR,2380,14.28,1.84,0.9,2.0,1.55,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,380 → score 0.9 | ROI: município pequeno → score 2.0",PESCADOR,Vale do Rio Doce,Teófilo Otoni,Teófilo Otoni,Vale do Rio Doce,Governador Valadares
JOANÉSIA,8.0,JOANÉSIA,3566,14.264,0.81,2.78,2.0,1.8,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 3,566 → score 2.78 | ROI: município pequeno → score 2.0",JOANÉSIA,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Ipatinga
BOM JESUS DO AMPARO,7.0,BOM JESUS DO AMPARO,4020,14.07,0.57,3.57,2.0,1.98,D,"Dentistas: 7 → score 0.57 | Votos PL/Nikolas: 4,020 → score 3.57 | ROI: município pequeno → score 2.0",BOM JESUS DO AMPARO,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Itabira
GLAUCILÂNDIA,9.0,GLAUCILÂNDIA,3116,14.022,1.04,2.17,2.0,1.68,D,"Dentistas: 9 → score 1.04 | Votos PL/Nikolas: 3,116 → score 2.17 | ROI: município pequeno → score 2.0",GLAUCILÂNDIA,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Montes Claros
PRESIDENTE KUBITSCHEK,12.0,PRESIDENTE KUBITSCHEK,2289,13.734000000000002,1.84,0.74,2.0,1.5,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,289 → score 0.74 | ROI: município pequeno → score 2.0",PRESIDENTE KUBITSCHEK,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Diamantina
DESTERRO DO MELO,9.0,DESTERRO DO MELO,3040,13.68,1.04,1.98,2.0,1.61,D,"Dentistas: 9 → score 1.04 | Votos PL/Nikolas: 3,040 → score 1.98 | ROI: município pequeno → score 2.0",DESTERRO DO MELO,Campo das Vertentes,Barbacena,Juiz de Fora,Campo das Vertentes,Barbacena
COMENDADOR GOMES,13.0,COMENDADOR GOMES,2098,13.637,2.08,0.46,2.0,1.49,D,"Dentistas: 13 → score 2.08 | Votos PL/Nikolas: 2,098 → score 0.46 | ROI: município pequeno → score 2.0",COMENDADOR GOMES,Triângulo Mineiro/Alto Paranaíba,Uberaba,Uberaba,Triângulo Mineiro/Alto Paranaíba,Frutal
FUNILÂNDIA,7.0,FUNILÂNDIA,3869,13.5415,0.57,3.34,2.0,1.9,D,"Dentistas: 7 → score 0.57 | Votos PL/Nikolas: 3,869 → score 3.34 | ROI: município pequeno → score 2.0",FUNILÂNDIA,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Sete Lagoas
MARLIÉRIA,8.0,MARLIÉRIA,3385,13.54,0.81,2.57,2.0,1.72,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 3,385 → score 2.57 | ROI: município pequeno → score 2.0",MARLIÉRIA,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Ipatinga
CRISÓLITA,8.0,CRISÓLITA,3380,13.52,0.81,2.56,2.0,1.72,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 3,380 → score 2.56 | ROI: município pequeno → score 2.0",CRISÓLITA,Vale do Mucuri,Teófilo Otoni,Teófilo Otoni,Vale do Mucuri,Nanuque
SÃO JOSÉ DO MANTIMENTO,12.0,SÃO JOSÉ DO MANTIMENTO,2252,13.512,1.84,0.65,2.0,1.46,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,252 → score 0.65 | ROI: município pequeno → score 2.0",SÃO JOSÉ DO MANTIMENTO,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
SANTA FÉ DE MINAS,11.0,SANTA FÉ DE MINAS,2448,13.464,1.56,1.03,2.0,1.48,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 2,448 → score 1.03 | ROI: município pequeno → score 2.0",SANTA FÉ DE MINAS,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Pirapora
SANTA CRUZ DE SALINAS,9.0,SANTA CRUZ DE SALINAS,2988,13.446,1.04,1.88,2.0,1.57,D,"Dentistas: 9 → score 1.04 | Votos PL/Nikolas: 2,988 → score 1.88 | ROI: município pequeno → score 2.0",SANTA CRUZ DE SALINAS,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Salinas
PATIS,7.0,PATIS,3836,13.426,0.57,3.28,2.0,1.88,D,"Dentistas: 7 → score 0.57 | Votos PL/Nikolas: 3,836 → score 3.28 | ROI: município pequeno → score 2.0",PATIS,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Montes Claros
AUGUSTO DE LIMA,9.0,AUGUSTO DE LIMA,2978,13.401000000000002,1.04,1.85,2.0,1.56,D,"Dentistas: 9 → score 1.04 | Votos PL/Nikolas: 2,978 → score 1.85 | ROI: município pequeno → score 2.0",AUGUSTO DE LIMA,Central Mineira,Belo Horizonte,BH — Sede,Central Mineira,Curvelo
CÓRREGO NOVO,10.0,CÓRREGO NOVO,2675,13.375,1.29,1.42,2.0,1.51,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 2,675 → score 1.42 | ROI: município pequeno → score 2.0",CÓRREGO NOVO,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Caratinga
TOCOS DO MOJI,8.0,TOCOS DO MOJI,3338,13.352,0.81,2.54,2.0,1.71,D,"Dentistas: 8 → score 0.81 | Votos PL/Nikolas: 3,338 → score 2.54 | ROI: município pequeno → score 2.0",TOCOS DO MOJI,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Pouso Alegre
CORONEL XAVIER CHAVES,11.0,CORONEL XAVIER CHAVES,2427,13.3485,1.56,0.98,2.0,1.47,D,"Dentistas: 11 → score 1.56 | Votos PL/Nikolas: 2,427 → score 0.98 | ROI: município pequeno → score 2.0",CORONEL XAVIER CHAVES,Campo das Vertentes,Barbacena,Juiz de Fora,Campo das Vertentes,São João Del Rei
CONGONHAS DO NORTE,9.0,CONGONHAS DO NORTE,2961,13.3245,1.04,1.82,2.0,1.55,D,"Dentistas: 9 → score 1.04 | Votos PL/Nikolas: 2,961 → score 1.82 | ROI: município pequeno → score 2.0",CONGONHAS DO NORTE,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Conceição do Mato Dentro
CACHOEIRA DOURADA,14.0,CACHOEIRA DOURADA,1876,13.132,2.28,0.28,2.0,1.51,D,"Dentistas: 14 → score 2.28 | Votos PL/Nikolas: 1,876 → score 0.28 | ROI: município pequeno → score 2.0",CACHOEIRA DOURADA,Triângulo Mineiro/Alto Paranaíba,Uberlândia,Uberlândia,Triângulo Mineiro/Alto Paranaíba,Ituiutaba
ROMARIA,10.0,ROMARIA,2614,13.07,1.29,1.26,2.0,1.46,D,"Dentistas: 10 → score 1.29 | Votos PL/Nikolas: 2,614 → score 1.26 | ROI: município pequeno → score 2.0",ROMARIA,Triângulo Mineiro/Alto Paranaíba,Uberlândia,Uberlândia,Triângulo Mineiro/Alto Paranaíba,Patrocínio
CONCEIÇÃO DAS PEDRAS,12.0,CONCEIÇÃO DAS PEDRAS,2177,13.062,1.84,0.58,2.0,1.44,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,177 → score 0.58 | ROI: município pequeno → score 2.0",CONCEIÇÃO DAS PEDRAS,Sul/Sudoeste de Minas,Pouso Alegre,Três Corações,Sul/Sudoeste de Minas,Santa Rita do Sapucaí
TAQUARAÇU DE MINAS,7.0,TAQUARAÇU DE MINAS,3692,12.922,0.57,3.01,2.0,1.78,D,"Dentistas: 7 → score 0.57 | Votos PL/Nikolas: 3,692 → score 3.01 | ROI: município pequeno → score 2.0",TAQUARAÇU DE MINAS,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Itabira
INGAÍ,12.0,INGAÍ,2135,12.81,1.84,0.53,2.0,1.42,D,"Dentistas: 12 → score 1.84 | Votos PL/Nikolas: 2,135 → score 0.53 | ROI: município pequeno → score 2.0",INGAÍ,Campo das Vertentes,Varginha,Alfenas,Campo das Vertentes,Lavras
