CIDADE,QTD,NM_MUNICIPIO,QT_VOTOS,SCORE_OPORTUNIDADE,SCORE_DENTISTAS,SCORE_VOTOS_PL,SCORE_ROI,SCORE_FINAL,TIER,EXPLICACAO,CIDADE_NORM,mesorregiao-nome_x,regiao-intermediaria-nome,DELEGACIA_CRO,mesorregiao-nome_y,microrregiao-nome
CÔNEGO MARINHO,18.0,CÔNEGO MARINHO,4453,40.077000000000005,3.11,4.1,2.0,3.18,C,"Dentistas: 18 → score 3.11 | Votos PL/Nikolas: 4,453 → score 4.1 | ROI: município pequeno → score 2.0",CÔNEGO MARINHO,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Januária
ORATÓRIOS,23.0,ORATÓRIOS,3479,40.0085,4.14,2.71,2.0,3.1,C,"Dentistas: 23 → score 4.14 | Votos PL/Nikolas: 3,479 → score 2.71 | ROI: município pequeno → score 2.0",ORATÓRIOS,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Ponte Nova
RIACHINHO,19.0,RIACHINHO,4204,39.938,3.34,3.79,2.0,3.16,C,"Dentistas: 19 → score 3.34 | Votos PL/Nikolas: 4,204 → score 3.79 | ROI: município pequeno → score 2.0",RIACHINHO,Norte de Minas,Patos de Minas,Patos de Minas,Norte de Minas,Pirapora
SANTA CRUZ DE MINAS,15.0,SANTA CRUZ DE MINAS,5309,39.8175,2.52,5.02,2.0,3.26,C,"Dentistas: 15 → score 2.52 | Votos PL/Nikolas: 5,309 → score 5.02 | ROI: município pequeno → score 2.0",SANTA CRUZ DE MINAS,Campo das Vertentes,Barbacena,Juiz de Fora,Campo das Vertentes,São João Del Rei
CATAS ALTAS,20.0,CATAS ALTAS,3905,39.05,3.59,3.42,2.0,3.13,C,"Dentistas: 20 → score 3.59 | Votos PL/Nikolas: 3,905 → score 3.42 | ROI: município pequeno → score 2.0",CATAS ALTAS,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Itabira
SENHORA DE OLIVEIRA,18.0,SENHORA DE OLIVEIRA,4319,38.871,3.11,3.95,2.0,3.13,C,"Dentistas: 18 → score 3.11 | Votos PL/Nikolas: 4,319 → score 3.95 | ROI: município pequeno → score 2.0",SENHORA DE OLIVEIRA,Zona da Mata,Barbacena,Juiz de Fora,Zona da Mata,Viçosa
CANA VERDE,20.0,CANA VERDE,3875,38.75,3.59,3.37,2.0,3.12,C,"Dentistas: 20 → score 3.59 | Votos PL/Nikolas: 3,875 → score 3.37 | ROI: município pequeno → score 2.0",CANA VERDE,Oeste de Minas,Varginha,Alfenas,Oeste de Minas,Campo Belo
FELISBURGO,20.0,FELISBURGO,3827,38.27,3.59,3.25,2.0,3.07,C,"Dentistas: 20 → score 3.59 | Votos PL/Nikolas: 3,827 → score 3.25 | ROI: município pequeno → score 2.0",FELISBURGO,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Almenara
CRUZEIRO DA FORTALEZA,24.0,CRUZEIRO DA FORTALEZA,3175,38.1,4.27,2.26,2.0,3.0,C,"Dentistas: 24 → score 4.27 | Votos PL/Nikolas: 3,175 → score 2.26 | ROI: município pequeno → score 2.0",CRUZEIRO DA FORTALEZA,Triângulo Mineiro/Alto Paranaíba,Patos de Minas,Patos de Minas,Triângulo Mineiro/Alto Paranaíba,Patrocínio
IBIRACATU,19.0,IBIRACATU,4003,38.0285,3.34,3.51,2.0,3.06,C,"Dentistas: 19 → score 3.34 | Votos PL/Nikolas: 4,003 → score 3.51 | ROI: município pequeno → score 2.0",IBIRACATU,Norte de Minas,Montes Claros,Montes Claros,Norte de Minas,Montes Claros
